question,A,B,C,D,answer,file
What is the main difference between pseudonymization and anonymization?,"Pseudonymization replaces unique attributes with pseudonyms, while anonymization irreversibly destroys any way of identifying the data subject.","Pseudonymization is reversible, while anonymization is not.","Pseudonymization is used for data encryption, while anonymization is used for data masking.","Pseudonymization is a type of data compression, while anonymization is a type of data encryption.",A,../data/dataiku\preparation\processors\column-pseudonymization.md
Which of the following is an optional step in the pseudonymization process?,Selecting a column for Salt,Selecting a hashing algorithm,Adding a new step of type 'Pseudonymize text',Selecting an option for Column,A,../data/dataiku\preparation\processors\column-pseudonymization.md
Which of the following matching modes counts complete cell values?,Complete value,Substring,Regular expression,Case-sensitive,A,../data/dataiku\preparation\processors\count-matches.md
Which normalization mode is only available for 'complete value' matching?,Case-sensitive matches,Case-insensitive matches,Accents-insensitive matches,Regular expression matches,C,../data/dataiku\preparation\processors\count-matches.md
"Which of the following is NOT a component of a condition in an if, then, else statement?",Column,Operator,Type of comparison,Output column,D,../data/dataiku\preparation\processors\create-if-then-else.md
"What type of operators would you use for numerical columns in an if, then, else statement?",Contains,Equals,Matches the regex,Greater than,D,../data/dataiku\preparation\processors\create-if-then-else.md
"Which of the following is NOT a type of action in an if, then, else statement?",Output column,Type of output,The item that is assigned,Condition,D,../data/dataiku\preparation\processors\create-if-then-else.md
Which of the following features is supported by the currency conversion processor?,It supports around 20 currencies with historical data.,It can only use a constant input currency.,It can output all data in the same currency.,It does not support historical data.,C,../data/dataiku\preparation\processors\currency-converter.md
Which of the following date elements can be extracted from an ISO-8601 formatted date in Dataiku DSS?,"Year, month, day","Hour, minutes, seconds","Week of year, timestamp",All of the above,D,../data/dataiku\preparation\processors\date-components-extract.md
What is the default timezone used when extracting date elements in Dataiku DSS?,UTC,PST,EST,GMT,A,../data/dataiku\preparation\processors\date-components-extract.md
Which of the following is NOT a common pattern used in the Java syntax for date specifier?,y (year),M (month in year),E (day name in week),P (period in day),D,../data/dataiku\preparation\processors\date-formatter.md
What is the default timezone used in Dataiku DSS for date formatting?,PST,EST,UTC,CET,C,../data/dataiku\preparation\processors\date-formatter.md
Which of the following is NOT an option for applying date parsing in Dataiku DSS?,A single column,An explicit list of columns,All columns matching a regex pattern,All columns except those matching a regex pattern,D,../data/dataiku\preparation\processors\date-parser.md
What is the default timezone used in Dataiku DSS for date parsing?,UTC,PST,EST,GMT,A,../data/dataiku\preparation\processors\date-parser.md
Which of the following types of data is NOT provided by the 'Enrich from French postcode' processor?,Basic demography data,Housing data,Weather data,Employment data,C,../data/dataiku\preparation\processors\enrich-french-postcode.md
The demographic data provided by the 'Enrich from French postcode' processor is based on which census years?,2005 and 2006,2007 and 2008,2009 and 2010,2011 and 2012,C,../data/dataiku\preparation\processors\enrich-french-postcode.md
Which of the following is NOT a simplification option offered by the NGram extractor?,Normalize text,Clear stop words,Stem words,Remove punctuation,D,../data/dataiku\preparation\processors\extract-ngrams.md
What is the primary purpose of the 'One ngram per row' output mode in the NGram extractor?,To generate a JSON array containing the ngrams,"To create a new row for each ngram, useful for grouping by ngram",To generate a new column for each ngram,To retain the structure of the original text,B,../data/dataiku\preparation\processors\extract-ngrams.md
What is a potential consequence of enabling skip-grams computation in the NGram extractor?,It simplifies the text by removing stop words,It normalizes the text to lowercase,It dramatically increases output size and computation requirements,It sorts words alphabetically,C,../data/dataiku\preparation\processors\extract-ngrams.md
Which option allows the processor to output each detected number into a separate column?,Extract several values,Extract values into a JSON array,Expand 'k' to '1000' and 'm' to '1000000',Decimal separator,A,../data/dataiku\preparation\processors\extract-numbers.md
What does the option 'Expand ‘k’ to ‘1000’ and ‘m’ to ‘1000000’' do?,It extracts several values and outputs each detected number into a separate column.,It outputs the found number(s) in a single column as a JSON-array.,It automatically expands notations like ‘10K’ and ‘5M’.,It uses the program’s best guess or chooses from between comma and dot separators.,C,../data/dataiku\preparation\processors\extract-numbers.md
Which of the following definitions is correct for the median?,The sum of values of a data set divided by the number of values.,The middle value separating the greater and lesser halves of a set of values.,The most frequent value in a set of values.,The value that appears most often in a data set.,B,../data/dataiku\preparation\processors\fill-empty-with-computed-value.md
"In the data set '1, 2, 2, 3, 4, 7, 9', what is the mode?",1,2,3,4,B,../data/dataiku\preparation\processors\fill-empty-with-computed-value.md
Which of the following options is NOT a way to apply the fill operation to columns?,A single column,An explicit list of columns,All columns matching a regex pattern,A random selection of columns,D,../data/dataiku\preparation\processors\fill-empty.md
Which of the following actions can be performed on matching rows or cells when filtering by date?,Keep matching rows only,Remove matching rows,Clear content of matching cells,All of the above,D,../data/dataiku\preparation\processors\filter-on-date.md
Which of the following actions can be performed on matching rows or cells when filtering invalid rows/cells in Dataiku?,Keep matching rows only,Remove matching rows,Clear content of matching cells,All of the above,D,../data/dataiku\preparation\processors\filter-on-meaning.md
"When applying the match condition to several columns in Dataiku, which options are available to determine if a row is considered as matching?",ALL,OR,AND,XOR,"A, B",../data/dataiku\preparation\processors\filter-on-meaning.md
Which of the following actions can be performed on matching rows or cells when filtering on a numerical range?,Keep matching rows only,Remove matching rows,Clear content of matching cells,All of the above,D,../data/dataiku\preparation\processors\filter-on-range.md
Which of the following actions can be performed on matching rows or cells in Dataiku?,Keep matching rows only,Remove matching rows,Clear content of matching cells,All of the above,D,../data/dataiku\preparation\processors\filter-on-value.md
"When applying the match condition to several columns, which option considers a row as matching if at least one column matches?",ALL,OR,AND,NONE,B,../data/dataiku\preparation\processors\filter-on-value.md
